,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
669258,-73.8142714,40.7387357,0
497320,-73.7567868,40.7621739,0
333356,-73.8063937,40.68446,0
63987,-73.9945856,40.7136898,0
414451,-73.9223863,40.804696,0
372323,-73.9318168,40.8582733,0
781582,-73.8838318,40.880467,0
703722,-73.9141598,40.8451775,0
215161,-73.9579038,40.708426,0
256230,-73.931133,40.7942452,0
517414,-73.9341398,40.6662772,0
924317,-73.9687403,40.6977606,0
670843,-73.9547296,40.6447735,0
843664,-74.066621,40.5979946,0
318240,-73.9873391,40.5787008,0
553041,-73.9737343,40.7546195,0
386860,-73.9554355,40.8252244,0
254068,-74.001884,40.7508292,0
704480,-73.9017321,40.6005106,0
69331,-73.9067948,40.7129331,0
898702,-73.9932635,40.7677586,0
496690,-73.9822801,40.7457967,0
718902,-74.0100354,40.738686,0
932899,-73.923475,40.8254139,0
459718,-73.9850428,40.7535538,0
807267,-73.933575,40.8027515,0
463645,-73.9139752,40.8454299,0
710091,-73.9907103,40.5861261,0
568277,-73.961243,40.7717376,0
36629,-73.93197,40.751976,0
104823,-73.8800407,40.8952213,0
75814,-74.0028124,40.6002042,0
678077,-73.9680255,40.7595778,0
324124,-74.006309,40.7141646,0
771865,-73.8123904,40.738609,0
394974,-73.9496774,40.6784553,0
259800,-73.9388034,40.6868244,0
56831,-73.971459,40.7663774,0
344255,-73.9184596,40.8255779,1
512890,-73.7903959,40.6668873,0
597512,-73.9976034,40.753928,0
626445,-73.7208111,40.7646586,0
557829,-73.9958825,40.682394,0
540853,-74.0092229,40.6306327,0
746923,-73.8921191,40.8187987,0
599810,-73.9879831,40.7408734,0
885047,-74.0071393,40.7538318,0
724032,-73.9790253,40.7560314,0
972287,-73.8184852,40.7161366,0
567773,-73.9524697,40.6506684,0
320379,-73.9954294,40.71728,0
396459,-74.0199288,40.6234844,0
416585,-73.7315637,40.7445743,0
603574,-74.0046869,40.7303203,0
287087,-73.7594101,40.7618397,0
95134,-73.9873883,40.5851593,0
734621,-73.982023,40.7490492,0
910845,-73.958782,40.7639911,0
846156,-73.7309347,40.7612052,0
259945,-73.9748888,40.7559235,0
961968,-73.9758293,40.7604196,0
896099,-74.1147031,40.6113222,0
3050,-73.96298,40.762486,0
893391,-73.9527048,40.7765625,0
12249,-73.903275,40.822357,0
762614,-73.979056,40.7617706,0
343775,-73.8523612,40.6941157,0
375793,-73.9753439,40.7553005,0
106815,-73.9496774,40.6784553,0
653404,-73.9806452,40.73378,0
436927,-73.9808593,40.7419703,0
953881,-73.9758311,40.6658159,0
57403,-73.9483252,40.8089731,0
231267,-73.9500442,40.6748461,0
631676,-73.8130955,40.6964483,0
507215,-73.7446568,40.6655218,0
294901,-73.9949394,40.7008398,0
359923,-73.9306105,40.8690766,0
451753,-73.9564414,40.585038,0
556520,-73.9204195,40.6309047,0
5349,-73.83224,40.71512,0
408560,-74.0092229,40.6306327,0
453434,-73.9760491,40.7514416,0
808381,-73.8411794,40.8285193,0
1006353,-73.757631,40.6664524,0
450722,-73.8722091,40.8551235,1
816944,-73.9189192,40.7320364,0
54028,-73.77067,40.596,0
95621,-73.9129057,40.6988325,0
394535,-73.9999386,40.7484001,0
233274,-73.9912974,40.7016566,0
973667,-73.8414531,40.7090458,0
888595,-73.9968524,40.7577322,0
50796,-73.7375377,40.7684013,0
69941,-73.9739693,40.7629663,0
316725,-73.8242706,40.703219,0
927922,-73.9082902,40.5917559,0
249590,-73.9703154,40.7564521,0
404452,-73.926878,40.8194793,0
270867,-73.9638248,40.7711045,0
814239,-74.0037305,40.7262499,0
398640,-73.75398,40.7271552,0
395482,-73.7393814,40.7557604,0
475632,-73.9300151,40.8493135,0
461413,-74.0998795,40.6101464,0
261920,-73.9887629,40.696197,0
552241,-73.9704715,40.6241708,1
638660,-73.9662103,40.5806289,0
23338,-73.82276,40.66454,0
870542,-73.9537478,40.766852,0
330295,-73.9740095,40.7430998,0
856769,-73.9721247,40.7456822,0
367451,-73.8331917,40.7190565,0
30389,-73.88096,40.76763,1
716077,-73.9973001,40.7571064,0
902141,-73.9598617,40.6556338,0
556230,-73.9360965,40.7497328,0
840531,-74.0817025,40.5985668,0
345549,-73.9373965,40.7489156,0
547219,-73.9958483,40.7680332,0
220398,-73.9983142,40.7608228,0
427503,-74.0090277,40.7053098,0
809297,-73.9886432,40.742814,0
329893,-73.8332862,40.7627471,1
587627,-73.9826602,40.6860873,0
964969,-73.9926041,40.7241363,0
268412,-73.9311822,40.842349,0
952570,-73.9634016,40.7659113,0
343663,-74.0666242,40.5903421,0
545252,-73.9769843,40.7501572,0
248584,-73.9068519,40.8707826,2
939727,-73.9808422,40.6887604,0
228519,-73.9258318,40.6365488,0
610827,-73.9866041,40.7257771,1
885102,-73.9311565,40.8257042,0
601806,-74.0014293,40.7514468,0
328075,-73.757631,40.6664524,0
822871,-73.9093749,40.8448335,2
335308,-73.7390234,40.7570678,0
256350,-73.9888427,40.7585332,0
630085,-73.8818034,40.8152123,0
889923,-73.9762353,40.7656758,0
786276,-73.9898636,40.7622359,0
564528,-74.0106725,40.7291123,0
984655,-74.0026387,40.7601586,0
755919,-73.9116794,40.8486394,0
661268,-73.9906233,40.7509908,0
980778,-73.763468,40.7468839,0
309733,-73.9228879,40.6554201,0
646755,-74.0051876,40.7198381,0
220014,-73.763468,40.7468839,0
916751,-73.9648018,40.7599831,0
328904,-73.9686716,40.7673428,0
895520,-73.8328215,40.7537216,0
492936,-73.9367868,40.8248126,0
358603,-73.8797328,40.6555642,0
800783,-73.9950494,40.734034,0
425757,-73.8963015,40.8335445,0
500915,-73.9568264,40.8126106,0
122400,-73.9871431,40.7557581,0
300163,-73.7711781,40.6725324,0
759133,-73.7569828,40.76226,1
799903,-73.9857147,40.7679171,0
409312,-73.8338215,40.7295758,0
625343,-73.9853377,40.7586947,0
759652,-73.9716962,40.7603116,0
666501,-73.9922423,40.7640559,0
13961,-73.95207,40.628647,0
39581,-73.74572,40.75158,0
946063,-73.9840744,40.743324,0
645952,-73.9845292,40.6960346,0
501713,-73.994019,40.7565272,0
