,x,y,size,average_distance
0,-73.8448674325,40.7281209401,2034,0.0478294418854
1,-73.9891651734,40.6767266025,2402,0.0428512388041
2,-73.7677272362,40.7156115873,1707,0.0606172178497
3,-73.9875159462,40.7456527972,5881,0.0271866129094
4,-73.8909060222,40.848599103,1727,0.0480701017017
5,-74.1265668778,40.5914506034,616,0.0577396374577
6,-73.9460298657,40.7787980893,3013,0.0389658124394
7,-73.9362531556,40.6277345649,1578,0.0563206890463
