,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
17514,-73.81683,40.764233,0
569974,-73.7701192,40.7601077,0
75172,-73.8922432,40.8603757,0
353426,-73.9865607,40.7616592,0
74803,-73.7695713,40.7077008,0
67342,-73.9748079,40.6455098,0
20791,-73.99485,40.750294,0
92438,-73.8401278,40.6811467,1
86022,-73.774502,40.7119458,0
35394,-73.97839,40.60115,0
61671,-73.7539866,40.5951403,1
22866,-73.76666,40.70334,1
94302,-73.9470508,40.7036649,1
68843,-73.8297,40.7170151,0
79018,-73.9755045,40.5934275,0
78871,-73.9805197,40.582877,2
59368,-74.1515858,40.5363506,0
837683,-73.8720598,40.8660476,0
99011,-73.8822143,40.6545182,0
32795,-74.000984,40.752052,0
15188,-74.038086,40.608757,0
12631,-73.93496,40.737785,0
21496,-73.93116,40.70377,0
103439,-74.0754674,40.6351948,1
926693,-73.9082989,40.6998829,0
122747,-73.9444241,40.8346811,0
108839,-74.22536,40.52599,0
97317,-73.8946508,40.6596411,0
290466,-74.0086345,40.7326422,0
943781,-73.9845292,40.6960346,0
62881,-74.0177083,40.6207532,0
274495,-73.8970429,40.8168023,0
85377,-73.8844936,40.6681511,0
74679,-74.0364276,40.631931,1
417707,-74.203986,40.5566168,0
16766,-73.97412,40.731964,1
228805,-74.0770425,40.6419624,0
568589,-73.9922143,40.7252314,0
293097,-73.9293693,40.7967991,3
12589,-73.833435,40.745327,0
71306,-73.8227066,40.8673349,0
86245,-73.8646611,40.8330149,0
547318,-74.1015053,40.5755907,4
625204,-73.8087955,40.7808628,0
422486,-74.0865359,40.6464901,0
110516,-73.8402406,40.7293959,0
5657,-74.14982,40.62046,1
463039,-73.8985502,40.6054518,2
76246,-73.8946326,40.8605536,3
43888,-73.9689359,40.7471163,1
438045,-73.9438444,40.823647,0
713233,-73.9347028,40.7172094,1
240771,-73.764536,40.7312098,0
51771,-73.9453727,40.6387858,1
264929,-73.7978594,40.5901644,0
922512,-73.9924606,40.7484685,0
107591,-73.9752435,40.6854052,0
484326,-73.9579745,40.670658,0
9362,-73.81259,40.67901,0
2250,-73.961975,40.759617,0
397386,-73.859396,40.7024569,0
498972,-73.7597138,40.5996182,0
85170,-73.9679589,40.8093654,0
346929,-73.9955453,40.764627,0
2207,-73.85457,40.700592,1
5775,-73.888466,40.76657,3
18796,-73.86167,40.73247,0
7919,-74.09204,40.595505,0
976894,-73.91115,40.67398,0
81572,-73.7711335,40.7431147,1
991915,-73.8538326,40.7549579,1
29381,-73.758575,40.70201,0
356070,-73.7560172,40.595205,1
48154,-73.8900034,40.7654254,0
25736,-73.9092,40.84497,1
741403,-73.881136,40.7479271,0
225282,-73.9618859,40.6073372,0
106140,-74.127401,40.6279961,0
93594,-73.9918815,40.7622608,1
442951,-73.8456399,40.740019,0
587129,-73.8875543,40.766359,0
29620,-73.935005,40.62432,0
101026,-73.7253348,40.7256177,0
318707,-73.9283482,40.6686479,0
44405,-73.8988257,40.7396685,2
107940,-73.8381451,40.8667049,0
57656,-73.7554844,40.7611455,0
634610,-73.7862659,40.666739,0
90337,-73.9792267,40.6657507,2
85845,-73.7782188,40.595497,1
339469,-73.9040958,40.7210307,1
33066,-74.06574,40.60503,0
3383,-73.80802,40.69004,0
16237,-73.9203,40.65538,2
78029,-73.7321738,40.7053527,1
253445,-73.9840615,40.5836273,0
617320,-73.8985442,40.8676769,0
782919,-73.8673103,40.7222897,0
103704,-73.8969598,40.6347919,0
377539,-73.7978594,40.5901644,0
51400,-73.9992169,40.672888,0
2932,-73.98353,40.684814,1
72841,-73.935763,40.7914921,0
247507,-73.8082443,40.6963946,0
20931,-73.82092,40.869083,0
117862,-73.7660144,40.7745612,1
123975,-73.8973442,40.8791322,0
983927,-73.9879718,40.7239136,0
2622,-73.835175,40.663525,1
82897,-73.8806163,40.8224763,0
60968,-73.7738725,40.7444014,1
58278,-74.0041015,40.6577569,0
918046,-73.8518237,40.8694241,0
98181,-73.9984693,40.6102777,0
159,-73.828125,40.882896,0
464730,-73.8257652,40.7509692,0
106377,-73.7863909,40.7558846,0
101033,-73.9106779,40.8638856,4
702914,-73.9987944,40.7601531,0
94375,-73.9940403,40.7203211,0
316680,-73.9313461,40.6944204,1
425868,-73.9430642,40.8401945,0
24561,-73.86081,40.896595,0
63731,-73.9429918,40.7391115,1
972041,-73.923829,40.8128241,0
122941,-73.8947345,40.6408229,0
39138,-73.745316,40.70395,0
29606,-73.942986,40.61345,0
37521,-73.92549,40.84177,0
74661,-73.9895589,40.6799453,1
462819,-73.9614224,40.7113504,0
858967,-73.9366363,40.6224004,1
90880,-73.8265402,40.7424211,0
95289,-73.7849314,40.7305588,0
29732,-73.9451,40.65743,0
51296,-73.9234585,40.7643491,2
105478,-74.0186286,40.6400132,0
40230,-73.84532,40.669285,0
79356,-73.7620943,40.6005674,0
26811,-73.9267,40.64461,0
605548,-73.9614533,40.7016614,0
351952,-73.9524386,40.7346885,1
10333,-73.92762,40.874496,1
100022,-73.8813114,40.8958721,0
41143,-73.75985,40.688953,0
48486,-73.9605992,40.7614858,0
39306,-73.96914,40.76093,1
40647,-73.82548,40.67137,0
24365,-73.90438,40.675106,0
402830,-73.8939568,40.6721759,0
586451,-73.7703999,40.7446461,1
927310,-73.8317456,40.6795373,0
26338,-73.79735,40.72658,0
64723,-73.9988131,40.7230221,0
9845,-73.8957,40.703957,0
627678,-73.8617629,40.7269218,0
262118,-73.8685899,40.7326093,0
46506,-73.7567868,40.7621739,0
62505,-73.9893318,40.6342584,0
93881,-73.9198604,40.6254806,0
606764,-73.8323482,40.7596798,0
25047,-73.87285,40.82663,0
259012,-73.9600738,40.6564847,0
96887,-73.9188208,40.8049049,0
5695,-73.87994,40.82364,1
64679,-74.0852198,40.6289354,1
282501,-73.9711345,40.5820191,0
97488,-73.8862658,40.90347,0
79094,-73.8383373,40.5794441,0
729076,-74.0102835,40.7331526,0
569032,-73.9646162,40.6064789,0
672032,-74.1464723,40.6080634,1
740815,-73.7702044,40.7448949,0
374353,-73.8276895,40.7661039,0
87270,-73.9261848,40.8385217,1
3371,-73.83934,40.699272,3
3392,-73.850075,40.689842,0
105983,-73.9435124,40.8359322,0
998287,-73.8982589,40.8130953,1
28538,-73.75324,40.680115,2
54932,-73.9145612,40.8703879,0
71165,-73.834318,40.7876681,0
391202,-73.7916994,40.6663098,0
61230,-73.9852802,40.6921563,1
110061,-73.8193996,40.8708016,2
235913,-73.8879861,40.7435478,0
100031,-73.8220852,40.7170347,2
746566,-74.1346181,40.5731989,0
6655,-74.025734,40.64063,2
23630,-74.02186,40.622295,0
428500,-74.0011515,40.762025,0
90715,-74.0073698,40.6183691,0
62736,-73.9313635,40.7546157,1
534700,-73.9887782,40.7339649,0
695392,-74.1760525,40.6187344,0
829860,-74.0087909,40.7423751,0
63634,-73.9977848,40.7242353,0
655224,-73.9149428,40.6370079,1
104577,-73.8833146,40.6919146,0
558395,-73.8663005,40.7688306,0
25315,-73.96513,40.591106,3
18909,-73.994675,40.720535,0
28756,-73.982925,40.640415,0
33694,-73.94058,40.78503,0
51967,-73.8369635,40.7042121,0
109096,-73.9312132,40.8250323,0
78346,-73.9267662,40.691198,0
109141,-73.8117629,40.6665735,2
75134,-73.737014,40.6495815,0
72755,-73.9399594,40.7083906,0
39563,-73.89663,40.76014,0
588148,-73.8393082,40.7429082,0
810991,-73.9752963,40.6209138,0
772436,-73.8896506,40.747447,0
421792,-73.7904495,40.7588537,0
450290,-73.9993335,40.6916827,0
109603,-73.92637,40.8449171,2
96473,-73.9019314,40.6400004,0
3027,-74.00383,40.75326,0
60688,-73.8337889,40.7433272,0
27249,-73.99546,40.71293,0
105174,-73.9798612,40.629451,0
753142,-73.9010787,40.8627551,0
13307,-73.98726,40.62202,0
795501,-73.9081374,40.6783638,0
21104,-73.99926,40.759514,0
101260,-73.9039068,40.8780211,0
940805,-73.7805895,40.7134287,0
915334,-73.8651229,40.7337521,0
999739,-74.0063674,40.6454575,0
