,x,y,size,average_distance
0,-73.9861375362,40.7432997875,738,0.0317108178712
1,-73.7612913159,40.6860790333,403,0.0492645515119
2,-73.9580568462,40.6936019869,639,0.0351905259341
3,-74.1317213182,40.5833470176,369,0.0691651730454
4,-73.8837366107,40.8536159753,746,0.042608523475
5,-73.9140138034,40.6455399868,562,0.0412160609932
6,-73.830356128,40.6890109097,611,0.0367568394382
7,-73.9868348286,40.618715613,615,0.0439037104958
8,-73.7958084381,40.7592533114,420,0.0442402958913
9,-73.8900043153,40.7466524418,686,0.0370704087235
10,-73.9346985785,40.8169707608,669,0.0323185051441
