,x,y,size,average_distance
0,-73.9058663007,40.8325947366,2655,0.056409547301
1,-73.9655675988,40.6514197155,3489,0.06465352613
2,-73.9776268158,40.7485303473,8602,0.0400651652884
3,-73.8057464152,40.7207700804,3596,0.0716643473835
4,-74.1265668778,40.5914506034,616,0.0577396374577
